Q,A
Hi,Hello! How can I assist you with BPCL services?
Hello,Hi there! How can I help you today?
Good morning,Good morning! How can I assist you with BPCL services?
Good afternoon,Good afternoon! How can I help you?
Good evening,Good evening! How may I assist you?
How are you?,"I'm fine, I'm here to assist you with BPCL-related queries!"
What can you do?,"I can provide information about BPCL services, fuel prices, LPG bookings, and more."
Fuel Prices & Availability,
How can I check the daily fuel price in my city?,"You can check fuel prices on the BPCL website, mobile app, or by sending an SMS in the format RSP <Dealer Code> to 9223112222."
Why do fuel prices vary from one city to another?,"Fuel prices depend on international crude oil rates, state taxes, and transportation costs, leading to variations across cities."
BPCL Petrol Pump Services,
How can I locate the nearest BPCL petrol pump?,You can use the BPCL SmartDrive app or visit our website to find the nearest fuel station.
What are the payment options available at BPCL petrol pumps?,"You can pay via cash, UPI, credit/debit cards, BPCL PetroCard, and mobile wallets."
LPG (BharatGas) Services,
How can I book a new BharatGas cylinder?,"You can book through:
SMS/IVR: Call 7715012345
WhatsApp: Message 'Book' to 1800224344
BPCL Website / Mobile App"
What should I do if my LPG cylinder is leaking?,"Turn off the regulator, open doors/windows, and immediately call 1906 (LPG Emergency Helpline)."
How can I track my BharatGas cylinder delivery?,You can check your order status via the BPCL app or website using your Consumer ID.
How do I apply for a new BharatGas connection?,"You can apply online through the BPCL portal or visit your nearest distributor with KYC documents (Aadhaar, address proof, ID proof)."
BPCL Loyalty Programs & Discounts,
"What is the PetroCard, and how does it work?","The PetroCard is a loyalty program where you earn reward points for every fuel purchase, which can be redeemed for discounts."
How can I check my PetroCard balance?,Log in to the SmartDrive app or check via SMS by sending BAL <Card Number> to 9223512222.
Complaints & Customer Support,
How do I register a complaint about fuel quality or quantity?,"You can file a complaint through:
BPCL Toll-Free Number: 1800-22-4344
BPCL Website Complaint Form
BPCL SmartDrive App"
How long does it take for a complaint to be resolved?,"Complaints are usually resolved within 7 working days, depending on the issue."
BPCL Industrial & B2B Services,
How can businesses order bulk fuel from BPCL?,Businesses can register on the BPCL Corporate Portal and place bulk fuel orders online.
What are the benefits of BPCL’s Fleet Card for transport companies?,"The BPCL Fleet Card offers fuel discounts, real-time tracking, and cashless transactions for fleet operators."
Emergency Assistance,
What should I do if my vehicle runs out of fuel on the road?,You can contact BPCL Roadside Assistance (if available in your area) or use SmartDrive App to locate the nearest BPCL pump.
How can I contact BPCL customer support?,"BPCL Toll-Free: 1800-22-4344
WhatsApp Support: 1800224344
Email: bpclcare@bharatpetroleum.in"
